id;agent_name;classification;n_pumps
1;Fazenda São Bento;NC;1
2;Fazenda São Bento II;NC;1
3;Fazenda Santa Luzia;NC;1
4;Fazenda Tupambae;NC;1
5;Fazenda Lago Verde;NC;1
10;Sementes Vale do Javaés;CP;1
13;Fazenda Ilha do Formoso;CI;1
23;Fazenda II de Abril;CI;1
24;Fazenda Patizal/Unigel;CI;1
26;Fazenda Ilha Verde II;CI;1
28;Natyre Agrícola Ltda.;CI;1
29;Siganna;NC;1
30;Fazenda Santa Cruz;CI;1
32;Faz São José I;NC;1
34;Fazenda Bom Jesus;NC;1
36;Fazenda Vitória;CI;1
38;Fazenda Recanto Dourado;CI;1
39;Fazenda Estância do Lago;CP;1
40;Fazenda Cheguei;NC;1
44;Fazenda Santo Antônio I;CI;1
45;Fazenda São João II;CP;1
46;Fazenda Nova Aliança II;NC;1
47;Fazenda Nova Aliança I;NC;1
48;Fazenda Progresso;NC;1
50;São Bento;CI;1
51;Fazenda São Miguel;NC;1
52;Fazenda Joia;NC;1
6;Fazenda Três Fronteiras;NC;2
7;CooperFormoso;CI;2
18;Fazenda Modelo;CI;2
20;Fazenda Praia Alta;CP;2
22;Fazenda Diamante;NC;2
27;Fazenda Canaã;CI;2
31;Fazenda Dona Carolina;NC;2
33;Fazenda Porto Alegre;NC;2
35;Fazenda Boa Esperança;CP;2
37;Fazenda Arco Íris;CI;2
41;Fazenda Fortaleza;CI;2
43;Fazenda Santa Rita;CI;2
15;Fazenda Dois Rios;CI;3
16;Fazenda Santa Maria;NC;3
21;Fazenda Dolores;NC;3
49;Fazenda Tartaruga;NC;3
9;CooperGran;CP;4
11;Fazenda Xavante;CI;4
14;Fazenda Rio Formoso;CI;4
17;Fazenda Luiza;CP;4
19;Fazenda Estância Terra Negra;CP;4
25;Fazenda Ilha Verde;CI;4
42;Lago Verde;NC;4
8;CooperJava;CP;7
12;Fazenda Frutac;CI;7
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
